date,total_daily_bikes
2017-01-01,12424
2017-01-02,7702
2017-01-03,10738
2017-01-04,25086
2017-01-05,19309
2017-01-06,13567
2017-01-07,3808
2017-01-08,4441
2017-01-09,8390
2017-01-10,12571
2017-01-11,21345
2017-01-12,27410
2017-01-13,23286
2017-01-14,9973
2017-01-15,11888
2017-01-16,17504
2017-01-17,12889
2017-01-18,20343
2017-01-19,27160
2017-01-20,16870
2017-01-21,18903
2017-01-22,13352
2017-01-23,9373
2017-01-24,8738
2017-01-25,26977
2017-01-26,22250
2017-01-27,22084
2017-01-28,14330
2017-01-29,15966
2017-01-30,22028
2017-01-31,15832
2017-02-01,24400
2017-02-02,24432
2017-02-03,19579
2017-02-04,13071
2017-02-05,13309
2017-02-06,25370
2017-02-07,15384
2017-02-08,30672
2017-02-09,2362
2017-02-10,5591
2017-02-11,8595
2017-02-12,5491
2017-02-13,14010
2017-02-14,19751
2017-02-15,21818
2017-02-16,18767
2017-02-17,18884
2017-02-18,23299
2017-02-19,29375
2017-02-20,24763
2017-02-21,24995
2017-02-22,28429
2017-02-23,33651
2017-02-24,36455
2017-02-25,21409
2017-02-26,16977
2017-02-27,27062
2017-02-28,30209
2017-03-01,23040
2017-03-02,23243
2017-03-03,19782
2017-03-04,9776
2017-03-05,10236
2017-03-06,22806
2017-03-07,17502
2017-03-08,31595
2017-03-09,32331
2017-03-10,10243
2017-03-11,9479
2017-03-12,8829
2017-03-13,16657
2017-03-14,1456
2017-03-15,4070
2017-03-16,7384
2017-03-17,10185
2017-03-18,7158
2017-03-19,11151
2017-03-20,21714
2017-03-21,27498
2017-03-22,17186
2017-03-23,19340
2017-03-24,22516
2017-03-25,19694
2017-03-26,12800
2017-03-27,15311
2017-03-28,13578
2017-03-29,32277
2017-03-30,29742
2017-03-31,7213
2017-04-01,13551
2017-04-02,30727
2017-04-03,35490
2017-04-04,15805
2017-04-05,39074
2017-04-06,11986
2017-04-07,23594
2017-04-08,26731
2017-04-09,35684
2017-04-10,45613
2017-04-11,53747
2017-04-12,41889
2017-04-13,44518
2017-04-14,39306
2017-04-15,32071
2017-04-16,37449
2017-04-17,46095
2017-04-18,48751
2017-04-19,34931
2017-04-20,27789
2017-04-21,25058
2017-04-22,21001
2017-04-23,37877
2017-04-24,39169
2017-04-25,12876
2017-04-26,22348
2017-04-27,39959
2017-04-28,50369
2017-04-29,43938
2017-04-30,33018
2017-05-01,45956
2017-05-02,52883
2017-05-03,50125
2017-05-04,47352
2017-05-05,13364
2017-05-06,33256
2017-05-07,36775
2017-05-08,41995
2017-05-09,46034
2017-05-10,46403
2017-05-11,45067
2017-05-12,41546
2017-05-13,6444
2017-05-14,23612
2017-05-15,42505
2017-05-16,57846
2017-05-17,59582
2017-05-18,53986
2017-05-19,48575
2017-05-20,34983
2017-05-21,39411
2017-05-22,15393
2017-05-23,48783
2017-05-24,44714
2017-05-25,11834
2017-05-26,36227
2017-05-27,35673
